epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,280.706,1.39599,1.52305,1.41364,0.67843,0.58892,0.64447,0.37946,1.46847,1.48278,1.5197,0.000302592,0.000302592,0.000302592
2,544.076,1.36902,1.29982,1.39885,0.65575,0.61134,0.66104,0.39616,1.43608,1.39654,1.51678,0.000593601,0.000593601,0.000593601
3,804.358,1.34721,1.26008,1.38677,0.74109,0.6017,0.67121,0.41378,1.37874,1.30213,1.46152,0.000872611,0.000872611,0.000872611
4,1065.39,1.31208,1.1928,1.36272,0.7359,0.65919,0.72038,0.44813,1.34976,1.20541,1.45339,0.000855005,0.000855005,0.000855005
5,1326.14,1.27147,1.12674,1.33457,0.75369,0.67292,0.73234,0.46763,1.28474,1.07151,1.376,0.000837007,0.000837007,0.000837007
6,1587.21,1.238,1.07135,1.31287,0.76778,0.70076,0.75894,0.48878,1.24579,1.02202,1.35874,0.000819009,0.000819009,0.000819009
7,1847.67,1.21167,1.03087,1.29617,0.77763,0.70308,0.76962,0.50219,1.22839,0.98714,1.33754,0.000801011,0.000801011,0.000801011
8,2107.09,1.18648,0.99014,1.28122,0.77477,0.73951,0.79482,0.52432,1.19063,0.92555,1.30765,0.000783013,0.000783013,0.000783013
9,2366.92,1.16429,0.95395,1.26156,0.76888,0.73984,0.79316,0.52499,1.18984,0.91297,1.30212,0.000765014,0.000765014,0.000765014
10,2628.86,1.15188,0.93668,1.25924,0.80591,0.74504,0.8084,0.53923,1.17912,0.89904,1.29602,0.000747016,0.000747016,0.000747016
11,2889.71,1.13819,0.91342,1.24542,0.79316,0.76027,0.81696,0.54955,1.15013,0.83846,1.27032,0.000729018,0.000729018,0.000729018
12,3152.03,1.11837,0.89345,1.23766,0.81466,0.77032,0.83069,0.56338,1.12511,0.80998,1.25101,0.00071102,0.00071102,0.00071102
